"Timestamp","What's your name?","Which of the following muscles are NOT primary muscles for the pushup?","This person is doing something wrong during the pushup, which mistake can you identify in the image?","Which of the following actions can help you keep the back straight?","Which of the following images show a possible pushup variant?"
"2018/12/03 7:03:42 PM CET","chiara","a) Triceps;e) Hamstrings","b) Elbows are pointing outwards, not backwards","c) Rotate your pelvis backwards and squeeze buttocks","a)"
"2018/12/03 7:04:05 PM CET","pincopancoSS","a) Triceps;e) Hamstrings","b) Elbows are pointing outwards, not backwards","c) Rotate your pelvis backwards and squeeze buttocks","a)"
"2018/12/03 7:04:15 PM CET","Bizzo0","b) Biceps;e) Hamstrings","b) Elbows are pointing outwards, not backwards","c) Rotate your pelvis backwards and squeeze buttocks","a)"
"2018/12/03 7:04:34 PM CET","Lucio","b) Biceps;e) Hamstrings","b) Elbows are pointing outwards, not backwards","c) Rotate your pelvis backwards and squeeze buttocks","a)"
